observation_date,DSPIC96,PCEC96,GS5
1999.01,8381.7,7582,4.6
1999.02,8409,7620,4.91
1999.03,8418.6,7654.1,5.14
1999.04,8402.6,7697.8,5.08
1999.05,8420.1,7731.6,5.44
1999.06,8448.9,7765.2,5.81
1999.07,8458.4,7778.8,5.68
1999.08,8494.4,7820.9,5.84
1999.09,8488.3,7858.2,5.8
1999.1,8541.3,7874.8,6.03
1999.11,8601.7,7911.9,5.97
1999.12,8672.2,8015.7,6.19
2000.01,8744.8,7988.5,6.58
2000.02,8778.7,8065.3,6.68
2000.03,8800.6,8110.8,6.5
2000.04,8836.9,8101.6,6.26
2000.05,8869.8,8139,6.69
2000.06,8890.2,8156,6.3
2000.07,8937.1,8160.6,6.18
2000.08,8985.2,8203.8,6.06
2000.09,8985.5,8269.4,5.93
2000.1,9000,8265.8,5.78
2000.11,8994,8272.5,5.7
2000.12,9004.6,8314.9,5.17
2001.01,9054.5,8314.4,4.86
2001.02,9073,8326.3,4.89
2001.03,9101.3,8317.4,4.64
2001.04,9080.8,8318.7,4.76
2001.05,9061.7,8351.4,4.93
2001.06,9062.4,8352.1,4.81
2001.07,9198.4,8368.8,4.76
2001.08,9359,8412.7,4.57
2001.09,9290.6,8332.2,4.12
2001.1,9145.7,8531.9,3.91
2001.11,9167.5,8489.9,3.97
2001.12,9190.4,8475.6,4.39
2002.01,9385.7,8502.4,4.34
2002.02,9395.5,8537.6,4.3
2002.03,9391.3,8533.8,4.74
2002.04,9417.9,8577.6,4.65
2002.05,9438.5,8543,4.49
2002.06,9459,8583.8,4.19
2002.07,9429.7,8633.6,3.81
2002.08,9422,8645.8,3.29
2002.09,9427.1,8604.7,2.94
2002.1,9448.3,8638.6,2.95
2002.11,9469.5,8665.3,3.05
2002.12,9497,8719.2,3.03
2003.01,9500.8,8727.3,3.05
2003.02,9481.3,8684.9,2.9
2003.03,9514.9,8725.5,2.78
2003.04,9576.2,8779.6,2.93
2003.05,9650.6,8798.5,2.52
2003.06,9683.2,8850.4,2.27
2003.07,9792.1,8896.1,2.87
2003.08,9852.8,8976.4,3.37
2003.09,9739,8945.7,3.18
2003.1,9780.6,8967.4,3.19
2003.11,9852.4,9026,3.29
2003.12,9869.1,9033,3.27
2004.01,9879.9,9071.5,3.12
2004.02,9900.7,9089.3,3.07
2004.03,9936.6,9128.5,2.79
2004.04,9969.2,9135.9,3.39
2004.05,10020.2,9184.6,3.85
2004.06,10020.5,9145.9,3.93
2004.07,10036.4,9207.3,3.69
2004.08,10065.8,9226.2,3.47
2004.09,10066,9295.6,3.36
2004.1,10075,9309.5,3.35
2004.11,10051.2,9323,3.53
2004.12,10418.5,9381,3.6
2005.01,10070.4,9379.8,3.71
2005.02,10074.5,9412.3,3.77
2005.03,10105.9,9435.5,4.17
2005.04,10125.6,9510.4,4
2005.05,10167.5,9463.2,3.85
2005.06,10196.8,9560.7,3.77
2005.07,10222.5,9620.8,3.98
2005.08,10238,9586.1,4.12
2005.09,10185.6,9548.8,4.01
2005.1,10234.6,9573.4,4.33
2005.11,10304.9,9625.4,4.45
2005.12,10359.6,9665.3,4.39
2006.01,10498.6,9701.1,4.35
2006.02,10543.4,9733.6,4.57
2006.03,10562.7,9753,4.72
2006.04,10549.1,9771.1,4.9
2006.05,10539.8,9781.9,5
2006.06,10563.3,9790.2,5.07
2006.07,10560.4,9836,5.04
2006.08,10558.6,9813.7,4.82
2006.09,10623.5,9864.5,4.67
2006.1,10684.6,9911.3,4.69
2006.11,10722.4,9927.5,4.58
2006.12,10750.4,9976.5,4.53
2007.01,10759.9,9983.8,4.75
2007.02,10788,9990.3,4.71
2007.03,10820.6,9997.9,4.48
2007.04,10818.3,10018.8,4.59
2007.05,10813,10030.3,4.67
2007.06,10800.7,10024.7,5.03
2007.07,10825.1,10047.1,4.88
2007.08,10831.6,10080.7,4.43
2007.09,10859.2,10079.7,4.2
2007.1,10839.4,10067.3,4.2
2007.11,10828.9,10093,3.67
2007.12,10874.9,10085.1,3.49
2008.01,10906.2,10074.7,2.98
2008.02,10925.4,10045.3,2.78
2008.03,10948.4,10063,2.48
2008.04,10906.9,10079.5,2.84
2008.05,11431.6,10084.1,3.15
2008.06,11129.8,10070.2,3.49
2008.07,10954.3,10028.8,3.3
2008.08,10866.7,10026.4,3.14
2008.09,10878.9,9960,2.88
