observation_date,DSPIC96,PCEC96,GS5,CPIAUCSL,M1SL
1999.01,8381.7,7582.0,4.60,164.700,1098.1
1999.02,8409.0,7620.0,4.91,164.700,1096.7
1999.03,8418.6,7654.1,5.14,164.800,1096.6
1999.04,8402.6,7697.8,5.08,165.900,1101.6
1999.05,8420.1,7731.6,5.44,166.000,1103.8
1999.06,8448.9,7765.2,5.81,166.000,1099.8
1999.07,8458.4,7778.8,5.68,166.700,1099.1
1999.08,8494.4,7820.9,5.84,167.100,1099.2
1999.09,8488.3,7858.2,5.80,167.800,1096.5
1999.10,8541.3,7874.8,6.03,168.100,1103.3
1999.11,8601.7,7911.9,5.97,168.400,1110.7
1999.12,8672.2,8015.7,6.19,168.800,1122.2
2000.01,8744.8,7988.5,6.58,169.300,1122.2
2000.02,8778.7,8065.3,6.68,170.000,1108.6
2000.03,8800.6,8110.8,6.50,171.000,1107.5
2000.04,8836.9,8101.6,6.26,170.900,1115.6
2000.05,8869.8,8139.0,6.69,171.200,1105
2000.06,8890.2,8156.0,6.30,172.200,1102.6
2000.07,8937.1,8160.6,6.18,172.700,1103.5
2000.08,8985.2,8203.8,6.06,172.700,1100.2
2000.09,8985.5,8269.4,5.93,173.600,1099.7
2000.10,9000.0,8265.8,5.78,173.900,1098.7
2000.11,8994.0,8272.5,5.70,174.200,1092.4
2000.12,9004.6,8314.9,5.17,174.600,1088.5
2001.01,9054.5,8314.4,4.86,175.600,1096.7
2001.02,9073.0,8326.3,4.89,176.000,1101.3
2001.03,9101.3,8317.4,4.64,176.100,1109
2001.04,9080.8,8318.7,4.76,176.400,1116.7
2001.05,9061.7,8351.4,4.93,177.300,1118.5
2001.06,9062.4,8352.1,4.81,177.700,1126.2
2001.07,9198.4,8368.8,4.76,177.400,1138.9
2001.08,9359.0,8412.7,4.57,177.400,1150.1
2001.09,9290.6,8332.2,4.12,178.100,1205.6
2001.10,9145.7,8531.9,3.91,177.600,1165.6
2001.11,9167.5,8489.9,3.97,177.500,1171
2001.12,9190.4,8475.6,4.39,177.400,1183.2
